aa	 -aa
iširsee	- -iš-ir-s-ee
išism	- -iš-is-m
išismaa	- -iš-is-m-aa
išismaan	- -iš-is-maan
išismaanaa	- -iš-is-maan-aa
išismaanee	- -iš-is-maan-ee
išismee	- -iš-is-m-ee
išisr	- -iš-is-r
išisraa	- -iš-is-r-aa
išisraan	- -iš-is-raan
išisraanaa	- -iš-is-raan-aa
išisraanee	- -iš-is-raan-ee
išisree	- -iš-is-r-ee
išiss	- -iš-iss
išiss	- -iš-is-s
išissaa	- -iš-iss-aa
išissaa	- -iš-is-s-aa
išissaan	- -iš-is-saan
išissaanaa	- -iš-is-saan-aa
išissaanee	- -iš-is-saan-ee
išissee	- -iš-iss-ee
išissee	- -iš-is-s-ee
išmiraa	- -iš-m-ir-aa
išmiraanaa	- -iš-m-iraan-aa
išmiraanee	- -iš-m-iraan-ee
išmiree	- -iš-m-ir-ee
išmisaa	- -iš-m-is-aa
išmisaanaa	- -iš-m-isaan-aa
išmisaanee	- -iš-m-isaan-ee
išmisee	- -iš-m-is-ee
išom	- -iš-om
išomaa	- -iš-om-aa
išomee	- -iš-om-ee
išomiraa	- -iš-om-ir-aa
išomiraanaa	- -iš-om-iraan-aa
išomiraanee	- -iš-om-iraan-ee
išomiree	- -iš-om-ir-ee
išomisaa	- -iš-om-is-aa
išomisaanaa	- -iš-om-isaan-aa
išomisaanee	- -iš-om-isaan-ee
išomisee	- -iš-om-is-ee
išor	- -iš-or
išoraa	- -iš-or-aa
išoree	- -iš-or-ee
išorim	- -iš-or-im
išorimaa	- -iš-or-imaa
išorimaa	- -iš-or-im-aa
išorimaan	- -iš-or-imaan
išorimaanaa	- -iš-or-imaan-aa
išorimaanee	- -iš-or-imaan-ee
išorimee	- -iš-or-im-ee
išoris	- -iš-or-is
išorisaa	- -iš-or-isaa
išorisaa	- -iš-or-is-aa
išorisaan	- -iš-or-isaan
išorisaanaa	- -iš-or-isaan-aa
išorisaanee	- -iš-or-isaan-ee
išorisee	- -iš-or-is-ee
išormaa	- -iš-or-m-aa
išormaanaa	- -iš-or-maan-aa
išormaanee	- -iš-or-maan-ee
išormee	- -iš-or-m-ee
išorsaa	- -iš-or-s-aa
išorsaanaa	- -iš-or-saan-aa
išorsaanee	- -iš-or-saan-ee
išorsee	- -iš-or-s-ee
išrimaa	- -iš-r-im-aa
išrimaanaa	- -iš-r-imaan-aa
išrimaanee	- -iš-r-imaan-ee
išrimee	- -iš-r-im-ee
išriraa	- -iš-r-ir-aa
išriraanaa	- -iš-r-iraan-aa
išriraanee	- -iš-r-iraan-ee
išriree	- -iš-r-ir-ee
išrisaa	- -iš-r-is-aa
išrisaanaa	- -iš-r-isaan-aa
išrisaanee	- -iš-r-isaan-ee
išrisee	- -iš-r-is-ee
iššaa	- -išš-aa
iššaaee	- -išš-aa-ee
iššim	- -išš-im
iššimee	- -išš-im-ee
iššin	- -išš-in
iššind	- -išš-ind
iššindee	- -išš-ind-ee
iššinee	- -išš-in-ee
iššir	- -išš-ir
išširee	- -išš-ir-ee
iššis	- -išš-is
iššisee	- -išš-is-ee
ištaa	- -išt-aa
ištee	- -išt-ee
ištind	- -išt-ind
ištindaa	- -išt-ind-aa
ištindee	- -išt-ind-ee
ištinn	- -išt-inn
ištinnaa	- -išt-inn-aa
ištinnee	- -išt-inn-ee
ištiss	- -išt-iss
ištissaa	- -išt-iss-aa
ištissee	- -išt-iss-ee
ištom	- -išt-om
ištomaa	- -išt-om-aa
ištomee	- -išt-om-ee
ištor	- -išt-or
ištoraa	- -išt-or-aa
ištoree	- -išt-or-ee
it	 -it
ità	 -ità
itišaa	- -itiš-aa
itišee	- -itiš-ee
itišimiraa	- -itiš-im-ir-aa
itišimiraanaa	- -itiš-im-iraan-aa
itišimiraanee	- -itiš-im-iraan-ee
itišimiree	- -itiš-im-ir-ee
itišimisaa	- -itiš-im-is-aa
itišimisaanaa	- -itiš-im-isaan-aa
itišimisaanee	- -itiš-im-isaan-ee
itišimisee	- -itiš-im-is-ee
itišimraa	- -itiš-im-r-aa
itišimraanaa	- -itiš-im-raan-aa
itišimraanee	- -itiš-im-raan-ee
itišimree	- -itiš-im-r-ee
itišimsaa	- -itiš-im-s-aa
itišimsaanaa	- -itiš-im-saan-aa
itišimsaanee	- -itiš-im-saan-ee
itišimsee	- -itiš-im-s-ee
itišind	- -itiš-ind
itišindaa	- -itiš-ind-aa
itišindee	- -itiš-ind-ee
itišindimaa	- -itiš-ind-im-aa
itišindimaanaa	- -itiš-ind-imaan-aa
itišindimaanee	- -itiš-ind-imaan-ee
itišindimee	- -itiš-ind-im-ee
itišindiraa	- -itiš-ind-ir-aa
itišindiraanaa	- -itiš-ind-iraan-aa
itišindiraanee	- -itiš-ind-iraan-ee
itišindiree	- -itiš-ind-ir-ee
itišindisaa	- -itiš-ind-is-aa
itišindisaanaa	- -itiš-ind-isaan-aa
itišindisaanee	- -itiš-ind-isaan-ee
itišindisee	- -itiš-ind-is-ee
itišinn	- -itiš-inn
itišinnaa	- -itiš-inn-aa
itišinnee	- -itiš-inn-ee
itiširimaa	- -itiš-ir-im-aa
itiširimaanaa	- -itiš-ir-imaan-aa
itiširimaanee	- -itiš-ir-imaan-ee
itiširimee	- -itiš-ir-im-ee
itiširiraa	- -itiš-ir-ir-aa
itiširiraanaa	- -itiš-ir-iraan-aa
itiširiraanee	- -itiš-ir-iraan-ee
itiširiree	- -itiš-ir-ir-ee
itiširisaa	- -itiš-ir-is-aa
itiširisaanaa	- -itiš-ir-isaan-aa
itiširisaanee	- -itiš-ir-isaan-ee
itiširisee	- -itiš-ir-is-ee
itiširmaa	- -itiš-ir-m-aa
itiširmaanaa	- -itiš-ir-maan-aa
itiširmaanee	- -itiš-ir-maan-ee
itiširmee	- -itiš-ir-m-ee
itiširraa	- -itiš-ir-r-aa
itiširraanaa	- -itiš-ir-raan-aa
itiširraanee	- -itiš-ir-raan-ee
itiširree	- -itiš-ir-r-ee
itiširsaa	- -itiš-ir-s-aa
itiširsaanaa	- -itiš-ir-saan-aa
itiširsaanee	- -itiš-ir-saan-ee
itiširsee	- -itiš-ir-s-ee
itišism	- -itiš-is-m
itišismaa	- -itiš-is-m-aa
itišismaan	- -itiš-is-maan
itišismaanaa	- -itiš-is-maan-aa
itišismaanee	- -itiš-is-maan-ee
itišismee	- -itiš-is-m-ee
itišisr	- -itiš-is-r
itišisraa	- -itiš-is-r-aa
itišisraan	- -itiš-is-raan
itišisraanaa	- -itiš-is-raan-aa
itišisraanee	- -itiš-is-raan-ee
itišisree	- -itiš-is-r-ee
itišiss	- -itiš-iss
itišiss	- -itiš-is-s
itišissaa	- -itiš-iss-aa
itišissaa	- -itiš-is-s-aa
itišissaan	- -itiš-is-saan
itišissaanaa	- -itiš-is-saan-aa
itišissaanee	- -itiš-is-saan-ee
itišissee	- -itiš-iss-ee
itišissee	- -itiš-is-s-ee
itišmiraa	- -itiš-m-ir-aa
itišmiraanaa	- -itiš-m-iraan-aa
itišmiraanee	- -itiš-m-iraan-ee
itišmiree	- -itiš-m-ir-ee
itišmisaa	- -itiš-m-is-aa
itišmisaanaa	- -itiš-m-isaan-aa
itišmisaanee	- -itiš-m-isaan-ee
itišmisee	- -itiš-m-is-ee
itišom	- -itiš-om
itišomaa	- -itiš-om-aa
itišomee	- -itiš-om-ee
itišomiraa	- -itiš-om-ir-aa
itišomiraanaa	- -itiš-om-iraan-aa
itišomiraanee	- -itiš-om-iraan-ee
itišomiree	- -itiš-om-ir-ee
itišomisaa	- -itiš-om-is-aa
itišomisaanaa	- -itiš-om-isaan-aa
itišomisaanee	- -itiš-om-isaan-ee
itišomisee	- -itiš-om-is-ee
itišor	- -itiš-or
itišoraa	- -itiš-or-aa
itišoree	- -itiš-or-ee
itišorim	- -itiš-or-im
itišorimaa	- -itiš-or-imaa
itišorimaa	- -itiš-or-im-aa
itišorimaan	- -itiš-or-imaan
itišorimaanaa	- -itiš-or-imaan-aa
itišorimaanee	- -itiš-or-imaan-ee
itišorimee	- -itiš-or-im-ee
itišoris	- -itiš-or-is
itišorisaa	- -itiš-or-isaa
itišorisaa	- -itiš-or-is-aa
itišorisaan	- -itiš-or-isaan
itišorisaanaa	- -itiš-or-isaan-aa
itišorisaanee	- -itiš-or-isaan-ee
itišorisee	- -itiš-or-is-ee
itišormaa	- -itiš-or-m-aa
itišormaanaa	- -itiš-or-maan-aa
itišormaanee	- -itiš-or-maan-ee
itišormee	- -itiš-or-m-ee
itišorsaa	- -itiš-or-s-aa
itišorsaanaa	- -itiš-or-saan-aa
itišorsaanee	- -itiš-or-saan-ee
itišorsee	- -itiš-or-s-ee
itišrimaa	- -itiš-r-im-aa
itišrimaanaa	- -itiš-r-imaan-aa
itišrimaanee	- -itiš-r-imaan-ee
itišrimee	- -itiš-r-im-ee
itišriraa	- -itiš-r-ir-aa
itišriraanaa	- -itiš-r-iraan-aa
itišriraanee	- -itiš-r-iraan-ee
itišriree	- -itiš-r-ir-ee
itišrisaa	- -itiš-r-is-aa
itišrisaanaa	- -itiš-r-isaan-aa
itišrisaanee	- -itiš-r-isaan-ee
itišrisee	- -itiš-r-is-ee
iva	 -iva
ivaa	 -ivaa
ka	 -ka
kà	 -kà
kaa	 -kaa
kar	- -kar
kardà	- -kar-d-à
kardaa	- -kar-d-aa
kardee	- -kar-d-ee
kardeen	- -kar-d-een
kardeenaa	- -kar-d-een-aa
kardeend	- -kar-d-eend
kardeendaa	- -kar-d-eend-aa
kardeendim	- -kar-d-eend-im
kardeendimaa	- -kar-d-eend-imaa
kardeendimaa	- -kar-d-eend-im-aa
kardeendimaan	- -kar-d-eend-imaan
kardeendimaanaa	- -kar-d-eend-imaan-aa
kardeendimaanee	- -kar-d-eend-imaan-ee
kardeendimee	- -kar-d-eend-im-ee
kardeendir	- -kar-d-eend-ir
kardeendiraa	- -kar-d-eend-iraa
kardeendiraa	- -kar-d-eend-ir-aa
kardeendiraan	- -kar-d-eend-iraan
kardeendiraanaa	- -kar-d-eend-iraan-aa
kardeendiraanee	- -kar-d-eend-iraan-ee
kardeendiree	- -kar-d-eend-ir-ee
kardeendis	- -kar-d-eend-is
kardeendisaa	- -kar-d-eend-isaa
kardeendisaa	- -kar-d-eend-is-aa
kardeendisaan	- -kar-d-eend-isaan
kardeendisaanaa	- -kar-d-eend-isaan-aa
kardeendisaanee	- -kar-d-eend-isaan-ee
kardeendisee	- -kar-d-eend-is-ee
kardeenir	- -kar-d-een-ir
kardeeniraa	- -kar-d-een-iraa
kardeeniraa	- -kar-d-een-ir-aa
kardeeniraan	- -kar-d-een-iraan
kardeeniraanaa	- -kar-d-een-iraan-aa
kardeeniraanee	- -kar-d-een-iraan-ee
kardeeniree	- -kar-d-een-ir-ee
kardeenis	- -kar-d-een-is
kardeenisaa	- -kar-d-een-isaa
kardeenisaa	- -kar-d-een-is-aa
kardeenisaan	- -kar-d-een-isaan
kardeenisaanaa	- -kar-d-een-isaan-aa
kardeenisaanee	- -kar-d-een-isaan-ee
kardeenisee	- -kar-d-een-is-ee
kardees	- -kar-d-ees
kardeesaa	- -kar-d-ees-aa
kardeesim	- -kar-d-ees-im
kardeesimaa	- -kar-d-ees-imaa
kardeesimaa	- -kar-d-ees-im-aa
kardeesimaan	- -kar-d-ees-imaan
kardeesimaanaa	- -kar-d-ees-imaan-aa
kardeesimaanee	- -kar-d-ees-imaan-ee
kardeesimee	- -kar-d-ees-im-ee
kardeesiraa	- -kar-d-ees-iraa
kardeesiraan	- -kar-d-ees-iraan
kardeesiraanaa	- -kar-d-ees-iraan-aa
kardeesiraanee	- -kar-d-ees-iraan-ee
kardeesis	- -kar-d-ees-is
kardeesisaa	- -kar-d-ees-is-aa
kardeesisee	- -kar-d-ees-is-ee
kardom	- -kar-d-om
kardomaa	- -kar-d-om-aa
kardomir	- -kar-d-om-ir
kardomiraa	- -kar-d-om-iraa
kardomiraa	- -kar-d-om-ir-aa
kardomiraan	- -kar-d-om-iraan
kardomiraan	- -kar-d-om-iraan
kardomiraanaa	- -kar-d-om-iraan-aa
kardomiraanee	- -kar-d-om-iraan-ee
kardomiree	- -kar-d-om-ir-ee
kardomis	- -kar-d-om-is
kardomisaa	- -kar-d-om-isaa
kardomisaa	- -kar-d-om-is-aa
kardomisaan	- -kar-d-om-isaan
kardomisaanaa	- -kar-d-om-isaan-aa
kardomisaanee	- -kar-d-om-isaan-ee
kardomisee	- -kar-d-om-is-ee
kardor	- -kar-d-or
kardoraa	- -kar-d-or-aa
kardorim	- -kar-d-or-im
kardorimaa	- -kar-d-or-imaa
kardorimaa	- -kar-d-or-im-aa
kardorimaan	- -kar-d-or-imaan
kardorimaanaa	- -kar-d-or-imaan-aa
kardorimaanee	- -kar-d-or-imaan-ee
kardorimee	- -kar-d-or-im-ee
kardoris	- -kar-d-or-is
kardorisaa	- -kar-d-or-isaa
kardorisaa	- -kar-d-or-is-aa
kardorisaan	- -kar-d-or-isaan
kardorisaanaa	- -kar-d-or-isaan-aa
kardorisaanee	- -kar-d-or-isaan-ee
kardorisee	- -kar-d-or-is-ee
kardos	- -kar-d-os
kardosim	- -kar-d-os-im
kardosimaa	- -kar-d-os-imaa
kardosimaa	- -kar-d-os-im-aa
kardosimaan	- -kar-d-os-imaan
kardosimaanaa	- -kar-d-os-imaan-aa
kardosimaanee	- -kar-d-os-imaan-ee
kardosimee	- -kar-d-os-im-ee
kardosir	- -kar-d-os-ir
kardosiraa	- -kar-d-os-iraa
kardosiraa	- -kar-d-os-ir-aa
kardosiraan	- -kar-d-os-iraan
kardosiraanaa	- -kar-d-os-iraan-aa
kardosiraanee	- -kar-d-os-iraan-ee
kardosiree	- -kar-d-os-ir-ee
kardosis	- -kar-d-os-is
kardosisaa	- -kar-d-os-isaa
kardosisaa	- -kar-d-os-is-aa
kardosisaan	- -kar-d-os-isaan
kardosisaanaa	- -kar-d-os-isaan-aa
kardosisaanee	- -kar-d-os-isaan-ee
kardosisee	- -kar-d-os-is-ee
karim	- -kar-im
karimaa	- -kar-im-aa
karinaa	- -kar-in-aa
karindaa	- -kar-ind-aa
kariraa	- -kar-ir-aa
karosaanee	- -kar-osaan-ee
karree	- -kar-r-ee
karraa	- -kar-r-aa
karrimee	- -kar-r-im-ee
karrisaa	- -kar-r-is-aa
karrisee	- -kar-r-is-ee
karsim	- -kar-s-im
karsimaa	- -kar-s-imaa
karsimaan	- -kar-s-imaan
simaa	- -s-imaa
karsir	- -kar-s-ir
karsiraa	- -kar-s-iraa
karsiraan	- -kar-s-iraan
karsis	- -kar-s-is
